ref_key	running_id	citation	type	authors	year	title	links	sec	data_type	data_subtype	pattern_type	pattern_subtype	alg_name	algorithm	encoding	notes	mentions	html_ref	bib_string	flnk
hess_shrimp_2014	70	Hess, Piatkowski, and Morik (2014)	inproceedings	Sibylle Hess, Nico Piatkowski, and Katharina Morik	2014	SHrimp: descriptive patterns in a tree		4.2	tabular	binary	substructure	itemsets	<alg>SHrimp</alg>	Use a datastructure similat to FP-tree to enable more efficient recomputation of pattern usages.	Shannon-Fano	Building on <alg>Krimp</alg>.	p.18:4.2,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Hess, Sibylle, Nico Piatkowski, and Katharina Morik</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'><span class='bibtex-protected'>SHrimp</span>: descriptive patterns in a tree.</span>
In <em>Proceedings of the <span class='bibtex-protected'>LWA</span> (Lernen, Wissen, Adaption) 2014 Workshops: <span class='bibtex-protected'>KDML</span>, <span class='bibtex-protected'>IR</span>, <span class='bibtex-protected'>FGWM</span></em>.</span>"	"@inproceedings{hess_shrimp_2014,
    author = {Hess, Sibylle and Piatkowski, Nico and Morik, Katharina},
    title = {{SHrimp}: Descriptive Patterns in a Tree},
    booktitle = {Proceedings of the {LWA} (Lernen, Wissen, Adaption) 2014 Workshops: {KDML}, {IR}, {FGWM}},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/HessPM14.pdf", "pdf")
sampson_widened_2014	150	Sampson and Berthold (2014)	inproceedings	Oliver Sampson and Michael R. Berthold	2014	Widened KRIMP: better performance through diverse parallelism	<a href='https://doi.org/10.1007/978-3-319-12571-8_24'>doi:10.1007/978-3-319-12571-8_24</a>	4.2	tabular	binary	substructure	itemsets		Diversify the pattern search <alg>Krimp</alg> using widening.	Shannon-Fano	Building on <alg>Krimp</alg>.	p.18:4.2,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Sampson, Oliver and Michael&nbsp;R. Berthold</span> (<span class='bib-block bib-when'>2014</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Widened <span class='bibtex-protected'>KRIMP</span>: better performance through diverse parallelism.</span>
In <em>Proceedings of the 13th International Symposium on Advances in Intelligent Data Analysis, <span class='bibtex-protected'>IDA</span>'14</em>, 276–285. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-319-12571-8_24'>doi:10.1007/978-3-319-12571-8_24</a>.</span></span>"	"@inproceedings{sampson_widened_2014,
    author = {Sampson, Oliver and Berthold, Michael R.},
    title = {Widened {KRIMP}: Better Performance through Diverse Parallelism},
    doi = {10.1007/978-3-319-12571-8_24},
    pages = {276--285},
    booktitle = {Proceedings of the 13th International Symposium on Advances in Intelligent Data Analysis, {IDA}'14},
    publisher = {Springer},
    year = {2014}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/SampsonB14.pdf", "pdf")
vreeken_characterising_2007	181	Vreeken, van Leeuwen, and Siebes (2007a)	inproceedings	Jilles Vreeken, Matthijs van Leeuwen, and Arno Siebes	2007	Characterising the difference	<a href='https://doi.org/10.1145/1281192.1281274'>doi:10.1145/1281192.1281274</a>	4.3	tabular	binary	substructure	itemsets				Using <alg>Krimp</alg> to compute distances between databases.	p.18:4.3,p.18	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Vreeken, Jilles, Matthijs <span class='bibtex-protected'>van Leeuwen</span>, and Arno Siebes</span> (<span class='bib-block bib-when'>2007</span>a)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Characterising the difference.</span>
In <em>Proceedings of the 13th <span class='bibtex-protected'>ACM</span> <span class='bibtex-protected'>SIGKDD</span> International Conference on Knowledge Discovery and Data Mining, <span class='bibtex-protected'>KDD</span>'07</em>, 765–774. <span class='bibtex-protected'>ACM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/1281192.1281274'>doi:10.1145/1281192.1281274</a>.</span></span>"	"@inproceedings{vreeken_characterising_2007,
    author = {Vreeken, Jilles and {van Leeuwen}, Matthijs and Siebes, Arno},
    title = {Characterising the difference},
    doi = {10.1145/1281192.1281274},
    pages = {765--774},
    booktitle = {Proceedings of the 13th {ACM} {SIGKDD} International Conference on Knowledge Discovery and Data Mining, {KDD}'07},
    publisher = {{ACM}},
    year = {2007}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/VreekenvLS07.pdf", "pdf")
smets_odd_2011	160	Smets and Vreeken (2011)	inproceedings	Koen Smets and Jilles Vreeken	2011	The odd one out: identifying and characterising anomalies	<a href='https://doi.org/10.1137/1.9781611972818.69'>doi:10.1137/1.9781611972818.69</a>	4.3	tabular	binary	substructure	itemsets				Using <alg>Krimp</alg> for <task>anomaly detection</task>, as one-class classification.	p.19:4.3,p.18,p.19	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Smets, Koen and Jilles Vreeken</span> (<span class='bib-block bib-when'>2011</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>The odd one out: identifying and characterising anomalies.</span>
In <em>Proceedings of the 2011 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'11</em>, 804–815. \pubSIAM .
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1137/1.9781611972818.69'>doi:10.1137/1.9781611972818.69</a>.</span></span>"	"@inproceedings{smets_odd_2011,
    author = {Smets, Koen and Vreeken, Jilles},
    title = {The Odd One Out: Identifying and Characterising Anomalies},
    pages = {804--815},
    booktitle = {Proceedings of the 2011 {SIAM} International Conference on Data Mining, {SDM}'11},
    publisher = {\pubSIAM},
    year = {2011},
    doi = {10.1137/1.9781611972818.69}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/SmetsV11.pdf", "pdf")
akoglu_fast_2012	2	Akoglu, Tong, Vreeken, and Faloutsos (2012)	inproceedings	Leman Akoglu, Hanghang Tong, Jilles Vreeken, and Christos Faloutsos	2012	Fast and reliable anomaly detection in categorical data	<a href='https://doi.org/10.1145/2396761.2396816'>doi:10.1145/2396761.2396816</a>	4.3	tabular	binary	substructure	itemsets	<alg>CompreX</alg>	Adapts the search to exploit the properties of categorical data.	Shannon-Fano	<task>Anomaly detection</task> in categorical data. Mining different code tables for different subsets of the data. Building on <alg>Krimp</alg> and <alg>Slim</alg>.	p.19:4.3,p.18,p.19	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Akoglu, Leman, Hanghang Tong, Jilles Vreeken, et al.</span> (<span class='bib-block bib-when'>2012</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Fast and reliable anomaly detection in categorical data.</span>
In <em>Proceedings of the 21st <span class='bibtex-protected'>ACM</span> international conference on Information and knowledge management, <span class='bibtex-protected'>CIKM</span>'12</em>, 415–424. <span class='bibtex-protected'>ACM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1145/2396761.2396816'>doi:10.1145/2396761.2396816</a>.</span></span>"	"@inproceedings{akoglu_fast_2012,
    author = {Akoglu, Leman and Tong, Hanghang and Vreeken, Jilles and Faloutsos, Christos},
    title = {Fast and reliable anomaly detection in categorical data},
    doi = {10.1145/2396761.2396816},
    pages = {415--424},
    booktitle = {Proceedings of the 21st {ACM} international conference on Information and knowledge management, {CIKM}'12},
    publisher = {{ACM}},
    year = {2012}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/AkogluTVF12.pdf", "pdf")
bertens_beauty_2015	19	Bertens, Vreeken, and Siebes (2015)	arxiv	Roel Bertens, Jilles Vreeken, and Arno Siebes	2015	Beauty and brains: detecting anomalous pattern co-occurrences	<a href='https://arxiv.org/abs/1512.07048'>arXiv:1512.07048</a>	4.3	tabular	binary	substructure	itemsets	<alg>BnB</alg> ‘Beauty and Brains’		Shannon-Fano	Detecting of anomalous pattern co-occurrences. Using <alg>Slim</alg> to generate candidate patterns. <task>Anomaly detection</task>. ArXiv version of <rkey>bertens_efficiently_2017</rkey>.	p.19:4.3,p.18,p.19	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Bertens, Roel, Jilles Vreeken, and Arno Siebes</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Beauty and brains: detecting anomalous pattern co-occurrences.</span>
<span class='bib-block bib-lnks'><a href='https://arxiv.org/abs/1512.07048'>arXiv:1512.07048</a>.</span></span>"	"@misc{bertens_beauty_2015,
    author = {Bertens, Roel and Vreeken, Jilles and Siebes, Arno},
    title = {Beauty and Brains: Detecting Anomalous Pattern Co-Occurrences},
    year = {2015},
    eprinttype = {arxiv},
    eprint = {1512.07048}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/BertensVS16a.pdf", "pdf")
budhathoki_difference_2015	33	Budhathoki and Vreeken (2015)	inproceedings	Kailash Budhathoki and Jilles Vreeken	2015	The difference and the norm – characterising similarities and differences between databases	<a href='https://doi.org/10.1007/978-3-319-23525-7_13'>doi:10.1007/978-3-319-23525-7_13</a>	4.3	tabular	binary	substructure	itemsets	<alg>DiffNorm</alg>		prequential	<task>Characterizing the differences</task> and similarities between databases. Mines multiple code tables. Building on <alg>Krimp</alg> and <alg>Slim</alg>. 	p.19:4.3,p.7,p.18,p.19,p.39	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Budhathoki, Kailash and Jilles Vreeken</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>The difference and the norm – characterising similarities and differences between databases.</span>
In <em>Proceedings of the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases, <span class='bibtex-protected'>ECML</span>/<span class='bibtex-protected'>PKDD</span>'15</em>, volume 9285, 206–223. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-319-23525-7_13'>doi:10.1007/978-3-319-23525-7_13</a>.</span></span>"	"@inproceedings{budhathoki_difference_2015,
    author = {Budhathoki, Kailash and Vreeken, Jilles},
    title = {The Difference and the Norm -- Characterising Similarities and Differences Between Databases},
    volume = {9285},
    doi = {10.1007/978-3-319-23525-7_13},
    pages = {206--223},
    booktitle = {Proceedings of the European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases, {ECML}/{PKDD}'15},
    publisher = {Springer},
    year = {2015}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/BudhathokiV15.pdf", "pdf")
bertens_efficiently_2017	22	Bertens, Vreeken, and Siebes (2017)	inproceedings	Roel Bertens, Jilles Vreeken, and Arno Siebes	2017	Efficiently discovering unexpected pattern-co-occurrences	<a href='https://doi.org/10.1137/1.9781611974973.15'>doi:10.1137/1.9781611974973.15</a>	4.3	tabular	binary	substructure	itemsets				Conference version of <rkey>bertens_beauty_2015</rkey>.	p.19:4.3,p.18,p.19	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Bertens, Roel, Jilles Vreeken, and Arno Siebes</span> (<span class='bib-block bib-when'>2017</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Efficiently discovering unexpected pattern-co-occurrences.</span>
In <em>Proceedings of the 2017 <span class='bibtex-protected'>SIAM</span> International Conference on Data Mining, <span class='bibtex-protected'>SDM</span>'17</em>, 126–134. <span class='bibtex-protected'>SIAM</span>.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1137/1.9781611974973.15'>doi:10.1137/1.9781611974973.15</a>.</span></span>"	"@inproceedings{bertens_efficiently_2017,
    author = {Bertens, Roel and Vreeken, Jilles and Siebes, Arno},
    title = {Efficiently Discovering Unexpected Pattern-Co-Occurrences},
    pages = {126--134},
    booktitle = {Proceedings of the 2017 {SIAM} International Conference on Data Mining, {SDM}'17},
    publisher = {{SIAM}},
    year = {2017},
    doi = {10.1137/1.9781611974973.15}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/BertensVS17.pdf", "pdf")
van_leeuwen_association_2015	172	van Leeuwen and Galbrun (2015)	article	Matthijs van Leeuwen and Esther Galbrun	2015	Association discovery in two-view data	<a href='https://doi.org/10.1109/TKDE.2015.2453159'>doi:10.1109/TKDE.2015.2453159</a>	4.4	tabular	binary	substructure	rules	<alg>Translator</alg>	Generates a list of candidates by mining closed frequent itemsets, then filters greedily.		Mining association rules from a two-view transactional dataset, to reconstruct one view given the other. Building on <alg>Krimp</alg>.	p.19:4.4,p.19,p.38,p.40	"<span class='bib-block bib-label'><span class='bib-block bib-who'><span class='bibtex-protected'>van Leeuwen</span>, Matthijs and Esther Galbrun</span> (<span class='bib-block bib-when'>2015</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Association discovery in two-view data.</span>
<em><span class='bibtex-protected'>IEEE</span> Transactions on Knowledge and Data Engineering</em>, 27(12):3190–3202.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1109/TKDE.2015.2453159'>doi:10.1109/TKDE.2015.2453159</a>.</span></span>"	"@article{van_leeuwen_association_2015,
    author = {{van Leeuwen}, Matthijs and Galbrun, Esther},
    title = {Association Discovery in Two-View Data},
    volume = {27},
    doi = {10.1109/TKDE.2015.2453159},
    pages = {3190--3202},
    number = {12},
    journal = {{IEEE} Transactions on Knowledge and Data Engineering},
    publisher = {{IEEE} Computer Society},
    year = {2015}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/own_pubs/VLG15_association.pdf", "pdf")
aoga_finding_2018	4	Aoga, Guns, Nijssen, and Schaus (2018)	inproceedings	John O. R. Aoga, Tias Guns, Siegfried Nijssen, and Pierre Schaus	2018	Finding probabilistic rule lists using the minimum description length principle	<a href='https://doi.org/10.1007/978-3-030-01771-2_5'>doi:10.1007/978-3-030-01771-2_5</a>	4.4	tabular	binary	substructure	rules	<alg>PRL</alg> , ‘Probabilistic Rule List’	Branch-and-bound with best-first search.		Mining a probabilistic rule list (PRL) for <task>rule-based classification</task> given a transactional dataset.	p.19:4.4,p.19	"<span class='bib-block bib-label'><span class='bib-block bib-who'>Aoga, John O.&nbsp;R. et al.</span> (<span class='bib-block bib-when'>2018</span>)</span>. <span class='bib-block bib-entry'><span class='bib-block bib-what'>Finding probabilistic rule lists using the minimum description length principle.</span>
In <em>Proceedings of the International Conference on Discovery Science, <span class='bibtex-protected'>DS</span>'18</em>, 66–82. Springer.
<span class='bib-block bib-lnks'><a href='https://doi.org/10.1007/978-3-030-01771-2_5'>doi:10.1007/978-3-030-01771-2_5</a>.</span></span>"	"@inproceedings{aoga_finding_2018,
    author = {Aoga, John O. R. and Guns, Tias and Nijssen, Siegfried and Schaus, Pierre},
    title = {Finding Probabilistic Rule Lists using the Minimum Description Length Principle},
    doi = {10.1007/978-3-030-01771-2_5},
    pages = {66--82},
    booktitle = {Proceedings of the International Conference on Discovery Science, {DS}'18},
    publisher = {Springer},
    year = {2018}
}"	=HYPERLINK("file:///home/egalbrun/TKTL/biblio/pdfs/AogaGNS18.pdf", "pdf")
